"Callsign","Sysop","Band","TX","Type","Where","Region","IF(secrecy='9',left(locator,4),locator)","lat","lon",
MB7UCW,G7OMN,70CM,439.912500,AP,CREWE,NOR,IO83SC,53.091,-2.481,
MB7UCW,G7OMN,2M,144.800000,AP,CREWE,NOR,IO83SC,53.091,-2.481,
MB7UCY,M0WWD,70CM,439.912500,AP,CROYDE,SW,IO71VD,51.127,-4.22,
MB7UDA,G7NVQ,2M,144.800000,AP,GILLINGHAM,SW,IO81,51,-2.3,
MB7UDG,GI0AZB,2M,144.800000,AP,DUNGIVEN,NI,IO64MW,54.928,-6.987,
MB7UDL,GM0UDL,70CM,439.912500,AP,FORTROSE,SCOT,IO77VO,57.585,-4.192,
MB7UDN,G0RQL,70CM,439.912500,AP,HOLSWORTHY,SW,IO70UV,50.882,-4.291,
MB7UDP,G6YCA,2M,144.800000,AP,DEEPING ST JAMES,CEN,IO92UQ,52.668,-0.277,
MB7UDU,GM7LUN,70CM,439.912500,AP,DUNS ,SCOT,IO85,55.8,-2.4,
MB7UEE,GM2BWW,2M,144.800000,AP,BLAIRGOWRIE,SCOT,IO86HO,56.609,-3.384,
MB7UEI,M0GIW,2M,144.800000,AP,THORNE,CEN,IO93MO,53.606,-0.962,
MB7UEK,M5EEK,2M,144.800000,AP,STOCKTON-ON-TEES,NOR,IO94,54.6,-1.3,
MB7UEL,MM0NBW,2M,144.800000,AP,NORTH BERWICK,SCOT,IO86,56.1,-2.7,
MB7UES,GM5DNA,70CM,439.912500,AP,INVERNESS,SCOT,IO77,57.5,-4.3,
MB7UEX,M0WWD,70CM,439.912500,AP,LYNMOUTH,SW,IO81CF,51.233,-3.796,
MB7UEY,G5TOM,2M,144.800000,AP,EYE,EA,JO02NH,52.295,1.084,
MB7UFB,M0MFS,70CM,439.912500,AP,BIDEFORD,SW,IO71VA,51.014,-4.214,
MB7UFC,GM5AUG,70CM,439.912500,AP,EDINBURGH,SCOT,IO85JW,55.95,-3.194,
MB7UFD,G6MAR,2M,144.800000,AP,SEAFORD,SE,JO00BS,50.778,0.084,
MB7UFK,G6ZNW,2M,144.800000,AP,FOLKESTONE,SE,JO01NB,51.076,1.165,
MB7UFO,M5WOB,2M,144.800000,AP,BOZEAT,CEN,IO92,52.2,-0.7,
MB7UFY,M0HOM,2M,144.800000,AP,EPWORTH,NOR,IO93NN,53.565,-0.875,
MB7UGB,M7DYD,2M,144.800000,AP,HARPENDEN,SE,IO91TT,51.817,-0.338,
MB7UGL,GM7LUN,2M,144.800000,AP,GALASHIELS,SCOT,IO85,55.6,-2.9,
MB7UGP,G6YRK,2M,144.800000,AP,GLOSSOP,NOR,IO93,53.4,-2,
MB7UGR,M0SDM,2M,144.800000,AP,BARROWBY,CEN,IO92,52.9,-0.7,
MB7UGY,M5MSX,2M,144.800000,AP,GREAT YARMOUTH,EA,JO02,52.6,1.7,
MB7UHA,M0NAS,2M,144.800000,AP,HALSTEAD,EA,JO01HW,51.948,0.611,
MB7UHD,G0ISX,2M,144.800000,AP,HUDDERSFIELD,,IO93BP,53.646,-1.873,
MB7UHE,M0OUE,2M,144.800000,AP,ST. HELENS,NOR,IO83,53.4,-2.7,
MB7UHF,G4SZM,70CM,439.912500,AP,WESTON-SUPER-MARE,SW,IO81MH,51.317,-2.949,
MB7UHF,G4SZM,2M,144.800000,AP,WESTON-SUPER-MARE,SW,IO81MH,51.317,-2.949,
MB7UHG,G8CAP,2M,144.800000,AP,DENTON,NOR,IO83,53.4,-2.1,
MB7UHH,G7NRU,2M,144.800000,AP,HOUGH ON THE HILL,CEN,IO93QA,53.003,-0.626,
MB7UHI,MW0AQZ,2M,144.800000,AP,HOLYHEAD,WM,IO73QH,53.303,-4.646,
MB7UHL,M0TEC,2M,144.800000,AP,HARLOW,EA,JO01AS,51.751,0.08,
MB7UHT,M0WKR,2M,144.800000,AP,SUMMERBRIDGE,NOR,IO94EB,54.065,-1.655,
MB7UIA,M9IAN,70CM,439.912500,AP,WARRINGTON,NOR,IO83,53.4,-2.5,
MB7UIK,G4ZXI,2M,144.800000,AP,HEADCORN,SE,JO01HE,51.168,0.624,
MB7UIL,M0WWD,70CM,439.912500,AP,ILFRACOMBE,SW,IO71WE,51.177,-4.126,
MB7UIS,GM8SAU,70CM,439.912500,AP,LOCHBOISDALE,SCOT,IO67HC,57.103,-7.348,
MB7UJD,M0UJD,2M,144.800000,AP,NORTH WALSHAM,EA,JO02QT,52.815,1.375,
MB7UJH,M7JVH,2M,144.800000,AP,RAINHILL,NOR,IO83OJ,53.416,-2.775,
MB7UJJ,G8DOR,2M,144.800000,AP,MAIDENHEAD,SW,IO91PK,51.452,-0.743,
MB7UJM,M8LWA,2M,144.800000,PX,FORDHAM ,EA,JO02EH84,52.311,0.406,
MB7UJR,M9YJR,2M,144.800000,AP,STOKE MANDEVILLE,SE,IO91OT,51.797,-0.784,
MB7UJS,M0SCJ,40M,7.078000,AP,FOREST HILL,SE,IO91,51.4,-0,
MB7UKB,G3ARX,2M,144.800000,AP,WOKINGHAM,SW,IO91,51.4,-0.8,
MB7UKC,M0HKC,2M,144.800000,AP,IPSWICH,EA,JO01PX,51.962,1.268,
MB7UKH,M8SGG,2M,144.800000,AP,CHATHAM,SE,JO01GJ,51.372,0.548,
MB7UKL,MM3NDH,70CM,439.912500,AP,KILSYTH,SCOT,IO75XX,55.997,-4.037,
MB7UKR,M0NKR,2M,144.800000,AP,BRANDON,EA,JO02HK,52.455,0.618,
MB7UKS,M0UKS,2M,144.800000,AP,NORWICH,EA,JO02PK,52.458,1.268,
MB7UKT,M8LSR,70CM,439.912500,AP,NORTH WALSHAM,EA,JO02QT,52.819,1.4,
MB7UKV,GM8HBY,2M,144.800000,AP,KILSYTH,SCOT,IO75XX,55.997,-4.037,
MB7UKY,G1SCQ,70CM,439.912500,AP,KING'S LYNN,CEN,JO02FS,52.783,0.48,
MB7ULA,G7CDA,2M,144.800000,AP,LANCASTER,NOR,IO84,54.1,-2.8,
MB7ULB,GM7LUN,70CM,439.912500,AP,LAUDER,SCOT,IO85,55.8,-2.9,
MB7ULD,GM7LUN,70CM,439.912500,AP,SELKIRK,SCOT,IO85,55.6,-2.8,
MB7ULD,GM7LUN,2M,144.800000,AP,LINDEAN,SCOT,IO85,55.6,-2.8,
MB7ULG,M0VNA,70CM,439.912500,AP,LEDBURY,CEN,IO82TA,52.04,-2.376,
MB7ULJ,G1LQT,2M,144.800000,AP,ST AUSTELL,SW,IO70NI,50.343,-4.849,
MB7ULL,MW0LPU,70CM,439.912500,AP,LLANGORSE,WM,IO81,52,-3.3,
MB7ULM,GM8SAU,70CM,439.912500,AP,LOCHMADDY,SCOT,IO67KO,57.597,-7.159,
MB7ULR,M0IGA,70CM,439.912500,AP,SUNDERLAND,NOR,IO94HU,54.874,-1.369,
MB7ULS,M0PQA,2M,144.800000,AP,LONDON,SE,IO91WK,51.448,-0.152,
MB7ULU,G1JKS,70CM,439.912500,AP,LANCASTER,NOR,IO84OA,54.005,-2.785,
MB7UMA,M1CJE,2M,144.800000,AP,MARLBOROUGH,SW,IO91CJ,51.416,-1.757,
MB7UMC,M0MSC,2M,144.800000,AP,BURY,NOR,IO83TO,53.592,-2.337,
MB7UMH,M0IAX,2M,144.800000,AP,WITHYPOOL,SW,IO81EC,51.112,-3.649,
MB7UMK,G0TAI,2M,144.800000,AP,GREAT LINFORD,SE,IO92PB,52.069,-0.75,
MB7UML,M0VML,2M,144.800000,AP,GLENROTHES,SCOT,IO86,56.2,-3.2,
MB7UMN,M9XTA,2M,144.800000,AP,MALDON,EA,JO01IR,51.729,0.68,
MB7UMO,M9TTL,2M,144.800000,AP,LOUGHTON,SE,JO01AP,51.658,0.072,
MB7UMR,GW0KAX,70CM,439.912500,AP,ABERKENFIG,WM,IO81,51.5,-3.6,
MB7UMS,M0VNA,70CM,439.912500,AP,GATESHEAD,NOR,IO94EX,54.965,-1.602,
MB7UMT,GM5AUG,2M,144.800000,AP,STORNOWAY,SCOT,IO68TF,58.228,-6.409,
MB7UMT,GM5AUG,70CM,439.912500,AP,STORNOWAY,SCOT,IO68TF,58.228,-6.409,
MB7UMV,GM0VMV,2M,144.800000,AP,EDINBURGH,SCOT,IO85JV,55.916,-3.221,
MB7UMW,M0UKB,2M,144.800000,AP,DUMFRIES,SCOT,IO85,55.1,-3.6,
MB7UNB,G7PQF,2M,144.800000,AP,NORWICH,EA,JO02QP,52.658,1.415,
MB7UND,G7VJA,70CM,439.912500,AP,HARTLAND,SW,IO70SX,50.995,-4.48,
MB7UNE,MW0LGE,2M,144.800000,AP,NEWPORT,WM,IO81NO,51.584,-2.836,
MB7UNH,MM3NDH,70CM,439.912500,AP,DALGETY BAY,SCOT,IO86HA,56.035,-3.35,
MB7UNL,G7PKF,2M,144.800000,AP,MILTON KEYNES,SE,IO91OX,51.974,-0.765,
MB7UNM,G8BPQ,2M,144.800000,AP,NOTTINGHAM,CEN,IO92KX,52.984,-1.117,
MB7UNM,G8BPQ,70CM,439.912500,AP,NOTTINGHAM,CEN,IO92KX,52.984,-1.116,
MB7UNN,G0VRM,2M,144.937500,AP,MARKET WEIGHTON,NOR,IO93QT,53.817,-0.615,
MB7UNP,G7HIF,2M,144.800000,AP,POTCOTE,CEN,IO92,52.2,-1,
MB7UNR,GM5JET,70CM,439.912500,AP,NAIRN,SCOT,IO87,57.6,-3.9,
MB7UNU,GM8SAU,2M,144.800000,AP,LOCHMADDY,SCOT,IO67HN,57.553,-7.334,
MB7UNU,GM8SAU,70CM,439.912500,AP,LOCHMADDY,SCOT,IO67HN,57.553,-7.334,
MB7UNW,G7IDB,2M,144.800000,AP,CRYSTAL PALACE,SE,IO91,51.4,-0.1,
MB7UNY,G1JKS,70CM,439.912500,AP,SLEIGHTS,NOR,IO94QK,54.455,-0.665,
MB7UOH,GM5AUG,70CM,439.912500,AP,COLCHESTER,EA,JO01LV,51.875,0.926,
MB7UPA,M6OER,2M,144.800000,AP,SALISBURY,SW,IO91CB,51.081,-1.824,
MB7UPD,G1JKS,70CM,439.912500,AP,GLOSSOP,NOR,IO93BJ,53.405,-1.898,
MB7UPE,M0ZPU,2M,144.800000,AP,PETERBOROUGH,EA,IO92TL,52.496,-0.344,
MB7UPH,M0NFZ,2M,144.800000,AP,PORTSMOUTH,SW,IO90LU,50.855,-1.069,
MB7UPI,M0ZPU,2M,144.800000,AP,ROYSTON,SE,IO92XA,52.01,-0.002,
MB7UPJ,2E1HRC,2M,144.800000,AP,KEIGHLEY,NOR,IO93AV,53.909,-1.929,
MB7UPP,M0NED,2M,144.800000,AP,BAMBER BRIDGE,NOR,IO83,53.7,-2.6,
MB7UPS,G1BYY,2M,144.800000,AP,ST.ALBANS,SE,IO91,51.7,-0.3,
MB7UPY,M0ZPU,2M,144.800000,AP,CAMBRIDGE,EA,JO02AF,52.215,0.037,
MB7URA,GM0RTY,2M,144.800000,AP,DUMBARTON,SCOT,IO75RW,55.952,-4.524,
MB7URD,M0XRD,2M,144.800000,AP,SHORTSTOWN,SE,IO92SC,52.11,-0.44,
MB7URG,M0IJS,2M,144.800000,AP,RUGBY,CEN,IO92JJ,52.391,-1.245,
MB7URH,M7HJB,2M,144.800000,AP,RUSHDEN,CEN,IO92QH,52.292,-0.585,
MB7URM,2E0SOH,2M,144.800000,AP,RAMSGATE,SE,JO01,51.3,1.4,
MB7URM,2E0SOH,70CM,439.912500,AP,RAMSGATE,SE,JO01,51.3,1.4,
MB7URM,2E0SOH,70CM,433.800000,AP,RAMSGATE,SE,JO01,51.3,1.4,
MB7URO,M9KAJ,2M,144.800000,AP,NEW ROMNEY,SE,JO00LW,50.956,0.961,
MB7URP,G7URP,2M,144.800000,AP,ATTLEBOROUGH,EA,JO02LN,52.544,0.975,
MB7URX,G4IRX,2M,144.800000,AP,NOTTINGHAM,CEN,IO92,52.9,-1.2,
MB7US,M0TUM,2M,144.800000,AP,NORWICH,EA,JO02PQ,52.689,1.318,
MB7USC,G0WUR,2M,144.800000,AP,KEMNAY,SCOT,IO87SF,57.24,-2.447,
MB7USE,M9XTA,2M,144.800000,AP,SOUTHEND ON SEA,SE,JO01IN,51.545,0.709,
MB7USH,G6JME,2M,144.800000,AP,EASTBOURNE,SE,JO00,50.8,0.3,
MB7USI,GM0USI,2M,144.800000,AP,NORTH KELVINSIDE,SCOT,IO75UV,55.885,-4.287,
MB7USL,M0BWU,2M,144.800000,AP,SILEBY,CEN,IO92KR,52.736,-1.101,
MB7USS,M0BOY,2M,144.800000,AP,MILTON KEYNES,SE,IO92OA,52.01,-0.777,
MB7UST,G7KFQ,2M,144.800000,AP,NEWQUAY,SW,IO70LJ,50.381,-5.007,
MB7USU,G4EKM,70CM,439.912500,AP,SUNDERLAND,NOR,IO94GV,54.888,-1.455,
MB7USV,G6YIQ,2M,144.800000,AP,HITCHIN,SE,IO91,51.9,-0.3,
MB7USW,G0UWS,2M,144.800000,AP,SWINDON,SW,IO91DL,51.487,-1.701,
MB7USX,M0WND,2M,144.800000,AP,HAYWARDS HEATH,SE,IO91,51,-0.1,
MB7UTC,M0XER,2M,144.800000,AP,TOWCESTER,CEN,IO92,52.1,-1,
MB7UTL,M0LTE,70CM,439.912500,AP,READING,SW,IO91LK,51.447,-1.027,
MB7UTM,M0TUM,2M,144.800000,AP,NORWICH,EA,JO02OQ,52.685,1.191,
MB7UUB,G4KVI,2M,144.800000,AP,BATH,SW,IO81UI,51.38,-2.327,
MB7UUK,G7HMV,2M,144.800000,AP,HEMEL HEMPSTEAD,SE,IO91SR,51.725,-0.433,
MB7UUU,2M0SBP,2M,144.800000,AP,ARISAIG,SCOT,IO76BV,56.911,-5.84,
MB7UUW,G5RKT,2M,144.800000,AP,WINCHESTER,SW,IO91HB,51.064,-1.36,
MB7UVA,G8WBI,2M,144.800000,AP,HEATHFIELD,SE,JO00CX,50.97,0.247,
MB7UVB,M5AAD,2M,144.800000,AP,MARGATE,SE,JO01QJ,51.381,1.405,
MB7UVC,G0CFB,2M,144.800000,AP,HALESWORTH,EA,JO02RH,52.312,1.436,
MB7UVH,G4FKI,2M,144.800000,AP,BEDFORD,CEN,IO92RA,52.036,-0.524,
MB7UVL,MM0NBW,2M,144.800000,AP,TRANENT,SCOT,IO85,55.9,-2.9,
MB7UVM,M0VPN,2M,144.800000,AP,IBBERTON,SW,IO80UU,50.874,-2.284,
MB7UVO,M0REQ,2M,144.800000,AP,GUILDFORD,SW,IO91RF,51.215,-0.564,
MB7UVR,G7HMV,2M,144.800000,AP,HARPENDEN,SE,IO91TU,51.846,-0.35,
MB7UVS,GW0VFF,2M,144.800000,AP,SWANSEA,WM,IO81,51.7,-3.9,
MB7UVT,GW0VFF,2M,144.800000,AP,CARMARTHEN,WM,IO71,51.9,-4.4,
MB7UVU,G5RJD,2M,144.800000,AP,CROOK,NOR,IO94DR,54.735,-1.745,
MB7UVX,MM0ROR,2M,144.800000,AP,ABERDEEN,SCOT,IO87WD,57.165,-2.104,
MB7UVY,2E1LEX,2M,144.800000,AP,BEDFORD,SE,IO92SC,52.117,-0.462,
MB7UVZ,G8WBI,2M,144.800000,AP,BLACKBOYS,SE,JO00BW,50.95,0.157,
MB7UWC,M1AEC,70CM,433.800000,AP,WORCESTER,CEN,IO82VE,52.177,-2.241,
MB7UWF,2E0KFG,2M,144.800000,AP,WICKFORD,EA,JO01GO,51.606,0.537,
MB7UWG,M5MOW,2M,144.800000,AP,WELWYN GARDEN CITY,SE,IO91VT,51.815,-0.204,
MB7UWH,M8MDJ,70CM,439.912500,AP,CHELTENHAM,SW,IO81,51.9,-2.1,
MB7UWH,M8MDJ,2M,144.800000,AP,CHELTENHAM,SW,IO81,51.9,-2.1,
MB7UWI,GM8SAU,70CM,439.912500,AP,BAYHEAD,SCOT,IO67FO,57.604,-7.519,
MB7UWK,G6VBJ,2M,144.800000,AP,NEW ASH GREEN,SE,JO01D1,51.352,0.322,
MB7UWM,M1DOZ,2M,144.800000,AP,GREAT TOTHAM,EA,JO01IS,51.786,0.702,
MB7UWN,G7HIF,2M,144.800000,AP,TOWCESTER,CEN,IO92MC,52.124,-0.985,
MB7UWS,G1JKS,2M,144.800000,AP,BAKEWELL,CEN,IO93ED,53.141,-1.641,
MB7UWS,G1JKS,70CM,439.912500,AP,BAKEWELL,CEN,IO93ED,53.141,-1.641,
MB7UWV,M0DWK,2M,144.800000,AP,HIGH BENTHAM,NOR,IO84RC,54.12,-2.509,
MB7UXI,M0PCB,2M,144.800000,AP,GLOUCESTER,SW,IO81UT,51.832,-2.269,
MB7UXX,G4MSF,2M,144.800000,AP,GATESHEAD,NOR,IO94EW,54.946,-1.538,
MB7UXY,G4MSF,2M,144.800000,AP,CHESTER-LE-STREET,NOR,IO94,54.8,-1.5,
MB7UYE,M0SDJ,2M,144.800000,AP,WYE,SE,JO01KE,51.194,0.919,
MB7UYF,G7GMN,2M,144.800000,AP,ALTON,SW,IO91,51.2,-1,
MB7UYZ,G0IJU,2M,144.800000,AP,KING'S LYNN,CEN,JO02FR,52.714,0.423,
MB7UZS,M0GZS,2M,144.800000,AP,SOUTHPORT,NOR,IO83LO,53.614,-3.015,
MM7NSY,MM7NSY,2M,144.937500,PN,BROXBURN,SCOT,IO85GW,55.935,-3.5,
MM7WXT,MM7WXT,2M,144.937500,PX,LANARK,SCOT,IO85,55.7,-3.8,
MW3ASG,MW3ASG,2M,144.800000,AP,CARDIFF,WM,IO81KM,51.534,-3.094,
MW3ASG,MW3ASG,70CM,439.912500,AP,CARDIFF,WM,IO81KM,51.534,-3.094,
