"Callsign","Sysop","Band","TX","Type","Where","Region","IF(secrecy='9',left(locator,4),locator)","lat","lon",
GB7CQV,GM0CQV,2M,144.937500,PX,EAST WEMYSS,SCOT,IO86LD,56.154,-3.075,
GB7CZU,GM8CZU,2M,144.937500,PX,CARDENDEN,SCOT,IO86,56.1,-3.2,
GB7DIN,M0CRT,2M,144.950000,PX,DINNINGTON,NOR,IO93JJ,53.377,-1.2,
GB7DNA,GM5DNA,2M,144.937500,PX,INVERNESS,SCOT,IO77,57.5,-4.3,
GB7EAT,M5KVK,2M,144.950000,PX,ST NEOTS,CEN,IO92UF,52.229,-0.281,
GB7EBN,G6JME,70CM,432.675000,PX,EASTBOURNE,SE,JO00,50.8,0.2,
GB7EBN,G6JME,2M,144.950000,PX,EASTBOURNE,SE,JO00,50.8,0.2,
GB7EBN,G6JME,4M,70.487500,PX,EASTBOURNE,SE,JO00,50.8,0.2,
GB7EHG,M5EHG,2M,144.937500,PX,DERBY,CEN,IO92GV,52.905,-1.486,
GB7ESC,G0WDA,2M,144.937500,PX,BLACKPOOL,NOR,IO83LT,53.807,-3.035,
GB7ESC,G0WDA,40M,7.050000,PX,BLACKPOOL,NOR,IO83LT,53.807,-3.035,
GB7ESC,G0WDA,70CM,439.950000,PX,BLACKPOOL,NOR,IO83LT,53.807,-3.035,
GB7EXE,M0ZZT,6M,50.650000,PX,EXETER,SW,IO80FR,50.736,-3.506,
GB7FCI,G6FCI,70CM,439.950000,PX,BLACKPOOL,NOR,IO83LT,53.825,-3.033,
GB7FCI,G6FCI,40M,7.050000,PX,BLACKPOOL,NOR,IO83LT,53.825,-3.033,
GB7FCI,G6FCI,2M,144.925000,PX,BLACKPOOL,NOR,IO83LT,53.825,-3.033,
GB7GDT,G7NVQ,6M,50.650000,PX,GILLINGHAM,SW,IO81,51,-2.3,
GB7GDT,G7NVQ,2M,144.937500,PX,GILLINGHAM,SW,IO81,51,-2.3,
GB7GDT,G7NVQ,70CM,439.950000,PX,GILLINGHAM,SW,IO81,51,-2.3,
GB7HFD,M0KVI,2M,144.950000,PX,HEATHFIELD,SE,JO00DX,50.962,0.254,
GB7HFD,M0KVI,40M,7.048500,PX,HEATHFIELD,SE,JO00DX,50.962,0.254,
GB7HPP,MM0HPP,40M,7.049000,PX,DORNOCH,SCOT,IO77XW,57.917,-4.077,
GB7HPP,MM0HPP,2M,144.937500,PX,DORNOCH,SCOT,IO77XW,57.917,-4.077,
GB7HTL,G7VJA,2M,144.937500,PX,BIDEFORD,SW,IO70SX,50.995,-4.48,
GB7HXA,G4UXV,2M,144.950000,PX,HUNTINGDON,CEN,IO92VI,52.345,-0.179,
